sum_rate_mean,sum_rate_std,iterations_mean,iterations_std,energy_norm_mean,energy_norm_std,time_s_mean,time_s_std,circuit_evals_mean,circuit_evals_std,peak_mem_mb_mean,peak_mem_mb_std,conv_std_mean,conv_std_std,conv_slope_mean,conv_slope_std,K,method
0.6702302272041626,0.837927056326893,9680.0,0.0,9608.0,0.0,24.634995206197104,14.305942837850369,0.0,0.0,8.631725565592449,0.0003478576306691904,0.21957276782021468,0.18752925611370422,0.001076543418763758,0.0022207286540507705,4,ddpg
0.7954335763218643,0.984015813361591,720.0666666666667,0.3590109871423002,760.1,0.5385164807134505,38.261202065149945,166.640365919094,80.06666666666666,0.35901098714230023,0.410655943552653,0.007238251695631433,0.22209258980847352,0.19168646081342883,0.0014495960818870829,0.0027421877492052153,4,qaoa
0.6576544058797906,0.8276242764779294,1811.0,0.0,1739.0,0.0,1633.7837017536162,2281.653676952065,265563.0,0.0,5.699637603759766,0.0017533552096955273,0.21154823320508512,0.18931204760452147,0.000825346318183882,0.0017740513223676385,4,qddpg
0.6722412322674914,0.8492379135418655,400.0,0.0,488.0,0.0,51.06385277112325,164.06497639265646,10480.0,0.0,0.7308188438415527,0.0007428846794843656,0.21286785544918224,0.18390222504930823,0.000387340295834729,0.001980466112242329,4,qppo
0.6641686648369983,0.8444199693129004,80.0,0.0,8.0,0.0,0.051114225387573244,0.0011842122959501143,0.0,0.0,0.01787567138671875,0.0,0.22368317815188676,0.20209074558511864,0.0007769897935080304,0.0024101225522268044,4,baseline
1.3890440274194977,1.030245219599332,9680.0,0.0,9608.0,0.0,25.471592092514037,1.8217521402235521,0.0,0.0,11.565679931640625,0.013180868785540402,0.40574113938845857,0.22543791523458695,-0.0010839389166450773,0.004593660451577644,8,ddpg
1.6934383793190106,1.256661410989108,720.2,0.7916228058025278,760.3,1.187434208703792,32.58631703058879,0.16586100788110292,80.2,0.791622805802528,0.41596250534057616,0.00738878054324847,0.4033204067835538,0.1972641463951144,-0.0015514885488377586,0.004972891857091808,8,qaoa
1.387028597494516,1.0185347480002713,1811.0,0.0,1739.0,0.0,514.954510029157,3.2396058042067253,265563.0,0.0,7.6212921142578125,0.02415416939528702,0.39715371072455147,0.22770295214743466,-0.002333807815998984,0.004224915339439886,8,qddpg
1.3824877878224358,1.0196490069983015,400.0,0.0,488.0,0.0,19.71911516189575,0.14081952115512691,10480.0,0.0,1.065270964304606,0.014035207095777874,0.39888738820934455,0.22294190728967989,-0.001422647919821189,0.004108233694217628,8,qppo
1.3885855248829018,1.0235159865193857,80.0,0.0,8.0,0.0,0.11012621720631917,0.0023573353198090277,0.0,0.0,0.01976776123046875,0.0,0.396018356795995,0.20424244074624545,-0.001109446227405049,0.0037221719215918725,8,baseline
1.5412739822339196,0.9936543745369828,9680.0,0.0,9608.0,0.0,32.037700430552164,0.6237379733337235,0.0,0.0,17.11282958984375,0.0004910011829567856,0.41632793098917475,0.2084637480779977,-0.0016472503464301346,0.00400275640603561,16,ddpg
1.86049080741658,1.2280864174506931,727.5666666666667,40.37795052858538,771.35,60.56692579287807,244.3393997748693,224.0892218643187,87.56666666666666,40.37795052858538,0.41702378590901695,0.008912262724268946,0.4148438215276588,0.19643344242628688,-0.0023770015543041253,0.006776226658642777,16,qaoa
1.5489368803446424,1.0106897367940992,1811.0,0.0,1739.0,0.0,653.2365576346715,569.2883324553513,265563.0,0.0,11.122544352213541,0.0021907123516136315,0.4102517037205269,0.20382374415461,-0.0027205736371444336,0.005495922866663164,16,qddpg
1.5254477694000164,0.9920670616427208,400.0,0.0,488.0,0.0,20.21775286992391,0.3554757338090274,10480.0,0.0,1.7266592979431152,0.0006013241758333385,0.41035107589849873,0.2116070005965761,-0.0018510201193787216,0.0055510997649843,16,qppo
1.5292506580501963,1.0174683703037506,80.0,0.0,8.0,0.0,0.28668808142344154,0.004336229911278296,0.0,0.0,0.02355194091796875,0.0,0.3987107283222098,0.20420085632561785,-0.0019974310678704276,0.004436304830577532,16,baseline
