sum_rate_mean,sum_rate_std,iterations_mean,iterations_std,energy_norm_mean,energy_norm_std,time_s_mean,time_s_std,circuit_evals_mean,circuit_evals_std,peak_mem_mb_mean,peak_mem_mb_std,conv_std_mean,conv_std_std,conv_slope_mean,conv_slope_std,method,speed_ms
0.8240226032115334,0.6085468985868944,9680.0,0.0,9608.0,0.0,22.119424414634704,0.6920360236644185,0.0,0.0,8.634166971842449,0.013163961512089893,0.29932655385306967,0.1844652489938025,-0.00016267546698754933,0.002186173504869264,ddpg,5
0.9885441546532777,0.7294835705211216,720.0,0.0,760.0,0.0,7.367751407623291,0.03889252074367258,80.0,0.0,0.41130329767862955,0.007161974682357433,0.2947248440009236,0.16937822161704713,-7.098124097521253e-05,0.0019497482864919064,qaoa,5
0.8144655967760686,0.6045345112674039,1811.0,0.0,1739.0,0.0,516.0680427471797,3.222561301334088,265563.0,0.0,5.704068501790364,0.023823465752070064,0.30239065088376926,0.19073119050313997,0.0007972941619842291,0.00248659035545223,qddpg,5
0.83212177635114,0.6359730888498332,400.0,0.0,488.0,0.0,19.683163356781005,0.09985517249269933,10480.0,0.0,0.7307557106018067,0.0005225481650280358,0.30726634064529856,0.1906920941616515,0.0003231528276276916,0.0017941261530550656,qppo,5
0.8213743619514172,0.610016946583805,80.0,0.0,8.0,0.0,0.051282374064127605,0.0010337710521609764,0.0,0.0,0.01787567138671875,0.0,0.3059617682427798,0.18684678952899977,1.3636675669462098e-05,0.0017036474760867614,baseline,5
0.9816074399382526,0.7835105026712715,9680.0,0.0,9608.0,0.0,57.27957331339518,186.87097732822787,0.0,0.0,8.631658935546875,0.0004910011829567855,0.3344134427387013,0.1976490534691763,0.00011399497781637277,0.002326553384892643,ddpg,10
1.1621883337853263,0.9001904915216912,720.0,0.0,760.0,0.0,7.4269263505935665,0.08751408434936846,80.0,0.0,0.410953426361084,0.0069244817099346585,0.3114324797142354,0.1776010650746203,-0.00026039791599709186,0.003103836575386084,qaoa,10
0.9894337906787529,0.7986669983278394,1811.0,0.0,1739.0,0.0,984.8852436145147,1439.3625743562063,265563.0,0.0,5.6995592753092446,0.001993415899599947,0.3190982987526075,0.188203593463239,2.534538564104359e-06,0.0019392964680395104,qddpg,10
0.9914229072186992,0.8075375695857783,400.0,0.0,488.0,0.0,35.90133083661397,83.73623976035775,10480.0,0.0,0.7308711051940918,0.0006003242260824141,0.324063987441601,0.19179346563262087,-7.613033478816714e-05,0.002871811540382424,qppo,10
0.9925767624135864,0.7826774808620365,80.0,0.0,8.0,0.0,0.05174012184143066,0.0012415467387019293,0.0,0.0,0.01787567138671875,0.0,0.3381872722066768,0.2043617894884973,0.0008270064401909901,0.0028572533937475187,baseline,10
0.8441362331746932,0.814433640014263,9680.0,0.0,9608.0,0.0,22.79140400091807,1.6707555156989784,0.0,0.0,8.631658935546875,0.0004910011829567855,0.2972710635534309,0.22194102994507817,0.0012336044403926892,0.004165088004209611,ddpg,20
1.008379362803676,0.9447258992111388,720.0,0.0,760.0,0.0,7.432032895088196,0.1399409429942085,80.0,0.0,0.41270192464192706,0.007585805744102759,0.28789047645743154,0.1989167926922923,0.0010026800326241449,0.0044131496176372945,qaoa,20
0.8493339604369634,0.8235682063889082,1811.0,0.0,1739.0,0.0,525.8554798444112,8.655299506594343,265563.0,0.0,5.699483998616537,0.00221207948208362,0.283781593969335,0.21620237195903605,0.0010626379580899418,0.0030273219422419758,qddpg,20
0.8523492935290642,0.825179130582596,400.0,0.0,488.0,0.0,20.258776434262593,1.3356280644278808,10480.0,0.0,0.730960464477539,0.0006585371066578156,0.29609937302320605,0.22130150781417451,0.0007851866419029601,0.004470096714761368,qppo,20
0.8520055329055222,0.8309198212679837,80.0,0.0,8.0,0.0,0.05153629779815674,0.0010888651270443018,0.0,0.0,0.01787567138671875,0.0,0.30116855169791373,0.2308684217149853,0.0010171782852091966,0.005417636472616711,baseline,20
0.89007972995328,0.5585531720835556,9680.0,0.0,9608.0,0.0,22.06820707321167,0.8980147741138927,0.0,0.0,8.631658935546875,0.0004910011829567855,0.32913908329347114,0.18133337901464122,-0.00030249243600554364,0.003590173107830222,ddpg,30
1.0536609032794695,0.6552494137215361,720.0,0.0,760.0,0.0,7.53629199663798,0.8829351854135601,80.0,0.0,0.41230732599894204,0.007673763411226027,0.32238659118633717,0.16257740570190976,-0.00032894779763517943,0.004990168224428609,qaoa,30
0.8967968886636721,0.5653817485425514,1811.0,0.0,1739.0,0.0,522.3201748450597,9.77020602399514,265563.0,0.0,5.699186197916666,0.0023494191064073167,0.32367966053596314,0.1760040019310425,-0.001161025280231649,0.003910313363270432,qddpg,30
0.8881220021421775,0.5565294767451054,400.0,0.0,488.0,0.0,20.102947783470153,1.3149987806276653,10480.0,0.0,0.7310655593872071,0.0010229155173872826,0.3303571816920005,0.17555363607294908,-0.0002889721115126444,0.004662435377584155,qppo,30
0.8739336278454048,0.5534907177555255,80.0,0.0,8.0,0.0,0.05120275815327962,0.001198336382680603,0.0,0.0,0.01787567138671875,0.0,0.3204320935253364,0.16411793936376484,-0.0002213842158154907,0.003420669118488743,baseline,30
