sum_rate_mean,sum_rate_std,iterations_mean,iterations_std,energy_norm_mean,energy_norm_std,time_s_mean,time_s_std,circuit_evals_mean,circuit_evals_std,peak_mem_mb_mean,peak_mem_mb_std,conv_std_mean,conv_std_std,conv_slope_mean,conv_slope_std,method,snr_db,P_total_W,ee_mean,ee_std
0.5172930874795678,0.5748803376455783,2196.3333333333335,27.939617431565207,2814.5,41.90942614734781,13.508652742703756,1.182101540671716,1236.3333333333333,27.939617431565203,0.0806688626607259,0.0143458922779235,0.1468739416989272,0.1194217638443172,-0.0006555134414202,0.0018966330715705,qaoa,0,130.4857142857143,0.0039643656802682,0.004405695602714088
0.345460588032721,0.4152291482392554,913.0,0.0,841.0,0.0,21.798186977704365,1.6031543327371307,7280.0,0.0,7.346613883972168,0.0568732283975878,0.146630997805547,0.1452326359671367,-7.196374407461909e-05,0.001054728209153,qddpg,0,130.4857142857143,0.002647497390222298,0.0031821809039575075
0.3551528223522053,0.4410222591114939,480.0,0.0,584.0,0.0,20.48281814257304,1.6308597899961734,8880.0,0.0,1.5009467124938964,0.0021083448661752,0.15190262861096,0.1487754028652956,-0.0003124557965393,0.0019471209417345,qppo,0,130.4857142857143,0.0027217755161653566,0.0033798509018835745
1.1619479465245923,0.9116474957147658,2206.0,32.50128202599604,2829.0,48.751923038994065,13.185318239529929,0.7728938185948887,1246.0,32.50128202599604,0.0805208206176757,0.0144893531848482,0.2860273101925228,0.1593459300154812,0.0006272296422526,0.0051048137372399,qaoa,5,131.10350790290525,0.008862828806877741,0.006953646857336025
0.8262907221479397,0.7228694747058184,913.0,0.0,841.0,0.0,21.67684464454651,1.523205149301253,7280.0,0.0,7.346610959370931,0.0568657722362614,0.2929470651190737,0.1916644803506678,0.000312311351951,0.0041301048859635,qddpg,5,131.10350790290525,0.006302582862694165,0.005513730992165158
0.8104782512453885,0.7162014554352857,480.0,0.0,584.0,0.0,20.038818176587423,1.4962477146178483,8880.0,0.0,1.5006844520568847,0.0019253248947201,0.2975811089675579,0.1933454744479886,0.0008869217949848,0.0052028987622939,qppo,5,131.10350790290525,0.006181972276787785,0.005462870268625472
2.130955904273645,1.8427576844778089,2201.0666666666666,23.069364004140983,2821.6,34.60404600621146,12.9840447584788,0.8031028090113386,1241.0666666666666,23.069364004140983,0.0802506446838378,0.0137267006402191,0.3782476704628843,0.1904671790220668,0.0027215926253705,0.0067046004140558,qaoa,10,133.05714285714285,0.01601534392303577,0.013849370615572969
1.5885339725503802,1.5382664735599547,913.0,0.0,841.0,0.0,21.3979101896286,1.3823157005625049,7280.0,0.0,7.34661242167155,0.056869500457922,0.4342473870362341,0.2797372328064025,0.0024827045677712,0.0057677104518232,qddpg,10,133.05714285714285,0.011938735030977735,0.011560946226024998
1.5995285085064743,1.5380036418039975,480.0,0.0,584.0,0.0,19.721564737955728,1.2472297918729822,8880.0,0.0,1.5009089787801106,0.0018746335508026,0.4502265504623984,0.296187878390482,0.0029087795711554,0.0074745118788401,qppo,10,133.05714285714285,0.012021365213168694,0.011558970896100475
3.4664471882901906,1.8670612806627025,2202.0,29.677151705197947,2823.0,44.51572755779692,13.098106575012206,0.7046684185400578,1242.0,29.677151705197947,0.0805495580037434,0.0141546170351196,0.5098231790928783,0.1514635836473396,0.0009053586992533,0.0080701775896764,qaoa,15,139.2350790290525,0.02489636385071386,0.013409417322721705
2.666299328300202,1.6068023430675118,913.0,0.0,841.0,0.0,21.436024339993796,1.316877330900586,7280.0,0.0,7.346613883972168,0.0568732283975878,0.6108705704972254,0.2231873422768987,0.000730894553044,0.0069250993444995,qddpg,15,139.2350790290525,0.01914962340592242,0.0115402120950586
2.6954997839406056,1.625288107055178,480.0,0.0,584.0,0.0,19.83805164496104,1.1947359724928592,8880.0,0.0,1.5008007049560548,0.0019916596711212,0.6401894965473389,0.2206323074676103,0.0008704199284469,0.0060641148794834,qppo,15,139.2350790290525,0.01935934394362047,0.011672978665929788
5.536550971110319,2.407818254214292,2197.8,35.30476832761641,2816.7,52.957152491424615,13.423402015368143,1.3047297796268842,1237.8,35.30476832761641,0.0809731165568033,0.014846504923578,0.6800708925739023,0.2704437176866039,0.0018095577651967,0.0062399053125443,qaoa,20,158.77142857142857,0.03487120460479776,0.01516531202042473
4.155442755802936,2.0490146103750946,913.0,0.0,841.0,0.0,22.176429327329,2.2043325367810533,7280.0,0.0,7.346610959370931,0.0568657722362614,0.8495890570069426,0.3635494460839596,0.001238117889311,0.0060538984398211,qddpg,20,158.77142857142857,0.026172484515584443,0.012905436631838818
4.217538233437656,2.0625984723908775,480.0,0.0,584.0,0.0,20.66934374968211,2.1416778298874157,8880.0,0.0,1.5008092880249024,0.0016557217790959,0.8817552288741708,0.4065342751584483,0.0016176577262321,0.0059572067742425,qppo,20,158.77142857142857,0.026563584338729164,0.01299099271795586
6.736593309145205,2.6237627925811644,2208.5333333333333,34.88718325625552,2832.8,52.33077488438329,13.008234874407451,0.809150393586813,1248.5333333333333,34.88718325625552,0.0803963979085286,0.0147125634010725,0.9707483181797524,0.4958666887013878,0.0008733282471734,0.0075153683645282,qaoa,25,220.55079029052513,0.03054440793556571,0.011896410750217482
4.522094129740643,1.529911463279237,913.0,0.0,841.0,0.0,21.379449025789896,1.3636006843984854,7280.0,0.0,7.346613883972168,0.0568732283975878,1.1087054559505602,0.5229249083228652,-7.321968085613131e-05,0.0078537802894364,qddpg,25,220.55079029052513,0.020503640561812635,0.0069367761560225165
4.551848595286998,1.504762358921389,480.0,0.0,584.0,0.0,19.749255005518595,1.252120071132382,8880.0,0.0,1.5007036526997883,0.0019312963587518,1.103788621735572,0.4768442718327181,0.0026731447375093,0.0085084404811738,qppo,25,220.55079029052513,0.020638550373322084,0.0068227475264958665
8.137144302309176,2.0870358744955477,2201.8,23.868249481965226,2822.7,35.80237422294784,13.613333034515382,1.596254100220444,1241.8,23.868249481965226,0.0798343340555826,0.0138473554758395,1.2179603510222343,0.5331704658921397,-4.846445557881319e-06,0.0085062898009747,qaoa,30,415.9142857142857,0.01956447417605421,0.0050179470775121365
5.326866825370401,1.6031111159832745,913.0,0.0,841.0,0.0,23.08133266766866,3.4672464839249653,7280.0,0.0,7.34661242167155,0.056869500457922,1.292036724311724,0.3755130986926344,-0.0001530483833507,0.0139682775259068,qddpg,30,415.9142857142857,0.012807607260284678,0.003854426671664121
5.347670394462262,1.64492385846262,480.0,0.0,584.0,0.0,20.478703649838767,2.4249965634143424,8880.0,0.0,1.5009161949157714,0.0017741873117996,1.307158874050576,0.4520012110947434,-0.0002029410380087,0.0130467421730032,qppo,30,415.9142857142857,0.012857626145921492,0.003954958785889379
