sum_rate_mean,sum_rate_std,iterations_mean,iterations_std,energy_norm_mean,energy_norm_std,time_s_mean,time_s_std,circuit_evals_mean,circuit_evals_std,peak_mem_mb_mean,peak_mem_mb_std,conv_std_mean,conv_std_std,conv_slope_mean,conv_slope_std,method,snr_db
0.6759710988509998,1.0653553828741913,2191.866666666667,31.742435669340537,2807.8,47.6136535040108,13.184077938397726,0.8600963520979946,1231.8666666666666,31.742435669340534,0.07936766942342123,0.013600826635079374,0.16452823461394298,0.14170028194609918,-0.00039312915020421027,0.002586480489000095,qaoa,0
0.4720184272516147,0.8643759328929426,913.0,0.0,841.0,0.0,21.564078330993652,1.7503671468403663,7280.0,0.0,7.346613883972168,0.0568732283975878,0.1632291250344875,0.1799723253222626,-0.0003680856097817042,0.0014819384211198251,qddpg,0
0.477974716346292,0.8847384273264606,3840.0,0.0,4616.0,0.0,378.47687055269876,30.648282921072816,131120.0,0.0,2.0157230695088706,0.002285578409236844,0.16465880284509812,0.17242041493953655,-1.68443119501754e-05,0.0013388514466947405,qppo,0
0.7051208082284407,0.8532245858958142,2189.0333333333333,98.3142862908992,2803.55,147.4714294363488,13.395819131533305,1.1257446867146075,1229.0333333333333,98.3142862908992,0.07975355784098308,0.01405773474667487,0.1928825012108506,0.20990231371520068,0.0012638080524203594,0.007099519491313981,qaoa,5
0.48257009997651057,0.629671328047945,913.0,0.0,841.0,0.0,22.085964330037434,1.966210652090428,7280.0,0.0,7.346615346272786,0.05687695605531409,0.19051777190832025,0.21983559516910714,0.001143019614564758,0.006457196451519528,qddpg,5
0.47720944879743527,0.6071481855632288,3840.0,0.0,4616.0,0.0,380.8007186571757,17.315831225108298,131120.0,0.0,2.015575726826986,0.002066557075230816,0.18808349760614368,0.21971868142413667,0.0010463147119455657,0.006270275719796762,qppo,5
1.7767681122284193,1.5620016787720739,2202.9333333333334,26.97521496155725,2824.4,40.462822442335884,15.188520789146423,2.4965472170424494,1242.9333333333334,26.97521496155725,0.07939167022705078,0.013006815356657873,0.34825078357223505,0.1706191728573751,-2.946599304061796e-05,0.002645246059836203,qaoa,10
1.2642613802129263,1.2111885337246213,913.0,0.0,841.0,0.0,24.20363885561625,3.1897566535252024,7280.0,0.0,7.34661242167155,0.05686950045792207,0.38425489577391403,0.25366895518328875,0.00011431025031750846,0.002544524659940748,qddpg,10
1.2679107071506392,1.1814087466859946,3840.0,0.0,4616.0,0.0,415.7364288250605,33.79661628081652,131120.0,0.0,2.0152231534322103,0.0017000907226938974,0.3818504587982137,0.2586695641098673,-0.000740642810519806,0.0022551974145909614,qppo,10
2.7520153479664824,1.5376725661271513,2204.366666666667,24.78370880683967,2826.55,37.175563210259504,13.897268056869507,0.7177720912943072,1244.3666666666666,24.78370880683967,0.08033866882324218,0.01403291146782514,0.47638056599671097,0.16754082294347986,-0.0004154123598677001,0.007067090164719335,qaoa,15
2.0643857650088306,1.257557968098134,913.0,0.0,841.0,0.0,23.58082993030548,2.443413843188415,7280.0,0.0,7.346613883972168,0.0568732283975878,0.5313736181748004,0.2383971277619922,-0.000626944345389152,0.0054505694333950114,qddpg,15
2.0434658963312633,1.209104707823732,3840.0,0.0,4616.0,0.0,399.29927485783895,25.056378044735567,131120.0,0.0,2.015273189544678,0.0018897037424274662,0.4994016143530935,0.20308603356558919,-0.0007513329992780316,0.005694815562842554,qppo,15
4.247293762544728,1.8962628773491312,2200.233333333333,29.607074980296332,2820.35,44.41061247044449,14.027055740356445,1.2288689057282072,1240.2333333333333,29.607074980296325,0.08016265233357747,0.014195320457513367,0.593403725902549,0.1940316455075497,-0.0002894644618383176,0.003624730776301577,qaoa,20
3.1511057187189264,1.5029865910187614,913.0,0.0,841.0,0.0,23.16716899871826,2.394150745614629,7280.0,0.0,7.34661242167155,0.05686950045792207,0.7007895596769652,0.2633970643344699,0.00012336485460477098,0.005059768922361902,qddpg,20
3.0726690142619844,1.3995015524210281,3840.0,0.0,4616.0,0.0,392.01097650527953,27.600441930638052,131120.0,0.0,2.0152273813883466,0.002004837198550058,0.6686580042410337,0.2568684027118553,-2.815694607152906e-05,0.0042964049450969904,qppo,20
7.117951743664476,1.9915665416590431,2203.266666666667,26.496456786186,2824.9,39.744685179279,13.90214794476827,0.46097917783549547,1243.2666666666667,26.496456786186002,0.07950026194254557,0.013543755244231697,1.0157406849493718,0.3789154918000992,0.003717089647565098,0.006973605568015546,qaoa,25
4.7596222024382575,1.2285238557473854,913.0,0.0,841.0,0.0,22.63515662352244,1.2189502297496975,7280.0,0.0,7.34661242167155,0.05686950045792207,1.2054270048259312,0.450384326053267,0.0014754994590095623,0.007510575714850043,qddpg,25
4.545633727299843,1.078993774885399,3840.0,0.0,4616.0,0.0,405.6165346304576,3.4774282051936667,131120.0,0.0,2.015105056762695,0.001767603369938918,1.110029395080904,0.3659270704495739,-0.0012872679546156215,0.007238271372473506,qppo,25
7.812665626937015,1.5946328022009622,2200.9333333333334,23.031765503804138,2821.4,34.54764825570621,16.033608571688333,0.9950143676836779,1240.9333333333334,23.031765503804138,0.07988761266072592,0.013709141203497564,1.1622550038025437,0.3704325279409353,0.0019510965887794456,0.008030736876665412,qaoa,30
5.031058931528624,0.9455617951465317,913.0,0.0,841.0,0.0,26.425064293543496,2.208993932569,7280.0,0.0,7.346613883972168,0.0568732283975878,1.2404861811942083,0.3104706476357869,0.00019652094014116698,0.005776397224101661,qddpg,30
4.815044677470727,0.741860124421933,3840.0,0.0,4616.0,0.0,457.798095035553,44.68204264088421,131120.0,0.0,2.015208053588867,0.001811317412611913,1.168391880077167,0.30394418992309724,0.0022099647088333414,0.007437234698238912,qppo,30
