sum_rate_mean,sum_rate_std,iterations_mean,iterations_std,energy_norm_mean,energy_norm_std,time_s_mean,time_s_std,circuit_evals_mean,circuit_evals_std,peak_mem_mb_mean,peak_mem_mb_std,conv_std_mean,conv_std_std,conv_slope_mean,conv_slope_std,method,speed_ms,P_total_W,ee_mean,ee_std
1.4140424672667191,1.2465495908726734,2202.4,28.268474784937847,2823.6,42.40271217740676,12.958578006426494,0.8025426774069958,1242.4,28.268474784937847,0.080933411916097,0.0146074418449846,0.3013084201262461,0.1588763768233565,-0.000118174123687,0.0017644057777918,qaoa,5,144.4857142857143,0.009786728565223486,0.008627493707839344
1.0215589877446016,1.0063438560279871,913.0,0.0,841.0,0.0,21.29654556910197,1.3630499695221174,7280.0,0.0,7.34661242167155,0.056869500457922,0.3236144927064365,0.2242928899407912,0.0001581094501024,0.0019687252120501,qddpg,5,144.4857142857143,0.007070311364655142,0.006965005924654845
1.0299581625228749,1.0134513203271314,480.0,0.0,584.0,0.0,19.686979699134827,1.2589527341881994,8880.0,0.0,1.5008252143859864,0.0017207716839487,0.3189998588391344,0.2052661120442791,-0.0003785862816158,0.0019067729128201,qppo,5,144.4857142857143,0.007128442888728617,0.007014197392020881
0.6036423913428901,0.7363497117463383,2201.0333333333333,30.401187842290348,2821.55,45.60178176343552,12.93093667825063,0.7763377940233345,1241.0333333333333,30.401187842290348,0.0802406311035156,0.0144209445947976,0.1613445461072348,0.1379915699657034,4.182405885697671e-05,0.0019728067131706,qaoa,10,144.4857142857143,0.0041778690324305225,0.005096349596820613
0.4027946394039651,0.5333901943052642,913.0,0.0,841.0,0.0,21.324548665682475,1.3481968835945328,7280.0,0.0,7.346613883972168,0.0568732283975878,0.163303344710744,0.1622368164469154,0.0002392406811541,0.0013817509084496,qddpg,10,144.4857142857143,0.0027877817637213323,0.0036916465890219985
0.4040397048405361,0.5255687408138277,480.0,0.0,584.0,0.0,19.67200566927592,1.2675815769101422,8880.0,0.0,1.50080992380778,0.0017360720877392,0.1584480683922651,0.1554013893975143,0.0001983953683492,0.0015676226543182,qppo,10,144.4857142857143,0.0027963989854496267,0.0036375135314383957
0.3709875526859389,0.6505267681579552,2201.1,26.93615909268927,2821.65,40.4042386390339,12.980165839195251,0.7929310854680052,1241.1,26.93615909268927,0.0808199882507324,0.0137964052448679,0.1131772701799565,0.1455479607614195,0.0009646433422558,0.0041935539918082,qaoa,20,144.4857142857143,0.0025676417528194308,0.004502360467773073
0.2446046209659104,0.4648018919528203,913.0,0.0,841.0,0.0,21.3518572251002,1.315638814681304,7280.0,0.0,7.34661242167155,0.056869500457922,0.1061807404392538,0.156638777887117,0.0006231914625403,0.0034485218593766,qddpg,20,144.4857142857143,0.0016929329115694806,0.003216940126230712
0.2486823361463771,0.4864904311706831,480.0,0.0,584.0,0.0,19.69958457152049,1.2378601116584085,8880.0,0.0,1.5010070164998373,0.0017500947846655,0.1092377914998527,0.164709865097813,0.000963783085585,0.0047332811641749,qppo,20,144.4857142857143,0.0017211551839278621,0.0033670486634316604
0.1229588597988888,0.1762778448459832,2200.0666666666666,34.14862938521674,2820.1,51.222944077825126,12.996680879592896,0.7896617373575266,1240.0666666666666,34.14862938521674,0.0801806767781575,0.0141291649051315,0.0442112745934793,0.0586692054375173,0.0003083427077465,0.0011695412526985,qaoa,30,144.4857142857143,0.0008510104989047079,0.001220036497846433
0.0796459419249429,0.1191753699502128,913.0,0.0,841.0,0.0,21.382141343752544,1.344844589855967,7280.0,0.0,7.346615346272786,0.056876956055314,0.0419806329112976,0.0627248799157183,0.0001966180315698,0.0008633817373697,qddpg,30,144.4857142857143,0.0005512374861326876,0.0008248245893330924
0.0786225127760266,0.1197885510832019,480.0,0.0,584.0,0.0,20.056539217631023,1.6401545352262288,8880.0,0.0,1.500818665822347,0.0016880301687746,0.0386736773842115,0.0559129866962922,0.0002587700698266,0.0008605530624254,qppo,30,144.4857142857143,0.0005441542311965456,0.0008290684769452375
