sum_rate_mean,sum_rate_std,iterations_mean,iterations_std,energy_norm_mean,energy_norm_std,time_s_mean,time_s_std,circuit_evals_mean,circuit_evals_std,peak_mem_mb_mean,peak_mem_mb_std,conv_std_mean,conv_std_std,conv_slope_mean,conv_slope_std,method,N
2.9966407931400454,1.22822723840869,1050.0,0.0,1005.0,0.0,1.5899054932594299,0.010518212384332962,0.0,0.0,5.319953231811524,8.27435536534283e-05,0.625520195326425,0.21324028952405286,-8.781509422326077e-05,0.0077310927255307416,ddpg,16
2.038042003187364,1.1540877927597504,552.74,27.26265577672138,579.11,40.893983665082075,4.237507317066193,0.020928544456143654,52.74,27.26265577672138,0.3504610824584961,0.05437749384010129,0.761736521753035,0.43229148868267214,-0.0011710520700903755,0.01027899339840944,qaoa,16
2.987790391240779,1.2041956149344624,124.0,0.0,79.0,0.0,14.532840168476104,0.6141406416754254,11472.0,0.0,4.368331832885742,0.0017800067425503495,0.6314322957098881,0.23372849854945713,3.371371602123197e-05,0.008843974195267404,qddpg,16
3.004936747353384,1.1859283247341956,100.0,0.0,125.0,0.0,3.207861890792847,0.014678850187939109,2650.0,0.0,0.6820811748504638,0.0005342842774840006,0.6368094301462459,0.22434089982421904,-0.0010082265117602352,0.008718740017853817,qppo,16
2.987693472531644,1.2152012907797303,50.0,0.0,5.0,0.0,0.02587422847747803,0.000808421742177848,0.0,0.0,0.0175323486328125,0.0,0.632794637087121,0.2223274870838955,0.00017318519666867518,0.007026652152929676,baseline,16
4.004792349553171,1.2350624132753234,1050.0,0.0,1005.0,0.0,1.8647593784332275,0.19336550002576255,0.0,0.0,8.595814819335937,0.00017944335937499997,0.7958314628270559,0.293375230004281,0.0018094350431534867,0.008875397785062172,ddpg,32
3.4183620427688153,1.5549261006321657,560.33,64.55510127015528,590.495,96.83265190523291,5.718092415332794,0.21726417688577576,60.33,64.55510127015528,0.3547850322723389,0.05368191888817106,1.1649813366371762,0.5315587123726493,-0.00042416921886571896,0.01197157502787155,qaoa,32
3.99762314709445,1.2289531652817782,124.0,0.0,79.0,0.0,14.761140630245208,0.6316993415534311,11472.0,0.0,7.152206954956054,0.00170396314259642,0.801327472282757,0.29250060743054396,0.00043998853709900073,0.007156940157798027,qddpg,32
3.980850917633225,1.2134562526303945,100.0,0.0,125.0,0.0,3.2138609290122986,0.024422724887895476,2650.0,0.0,1.3206802082061768,0.00030434257056563877,0.8155470234630102,0.29110418798101456,-0.001157464815143561,0.008543909179761788,qppo,32
4.000500089037627,1.2367121277362811,50.0,0.0,5.0,0.0,0.026283893585205078,0.00015638340608504884,0.0,0.0,0.0432891845703125,0.0,0.8097297192128344,0.3005337263811755,0.0015718151316034103,0.008957643130320105,baseline,32
4.395245808351017,0.9096304064850975,1050.0,0.0,1005.0,0.0,2.4134250855445862,0.1669574024449368,0.0,0.0,15.399769897460937,0.00017944335937499997,0.9303347089941952,0.2885297410491256,-0.0014133293596282654,0.010485360677469364,ddpg,64
4.298850985069177,1.373178110120963,600.55,108.05196666419359,650.825,162.07794999629039,8.804646744728089,0.0782698241616604,100.55,108.05196666419359,0.4532119178771973,0.05337736319619049,1.3736981522651146,0.47949515747048693,0.000593963813326822,0.01608608133111375,qaoa,64
4.386493870656569,0.9407328360849933,124.0,0.0,79.0,0.0,15.040852990150452,0.6051171810887257,11472.0,0.0,13.002898788452148,0.0018609991520289755,0.8982688286783852,0.26563968930202286,0.0005184432055037494,0.010884308171446096,qddpg,64
4.399323759220943,0.9337348900175432,100.0,0.0,125.0,0.0,3.2525845837593077,0.26219106104209156,2650.0,0.0,2.347468786239624,0.000378375167670953,0.918754655230243,0.2706927660064299,-0.0006100505611925422,0.010947173938429764,qppo,64
4.383235489356353,0.93407060671066,50.0,0.0,5.0,0.0,0.0273374342918396,0.00016096315620755953,0.0,0.0,0.1416778564453125,0.0,0.9110355257281796,0.27855406437028674,5.6395707524145525e-05,0.011238027679665993,baseline,64
